_id,FISCAL_YEAR,CAMPUS,CIP,CIP_DESC,GROUP1,GROUP2,GROUP3,GROUP4,GROUP5,OUTCOME,AWARDS
6096,Fiscal Year 2011,Honolulu CC,131210,Early Childhood Education,Career & Tech Ed,Public Services,Early Childhood Education,Early Childhood Education,,Associate Degrees,20
6097,Fiscal Year 2011,Maui College,520901,"Hospitality Admin/Mgmt, Ge",Career & Tech Ed,Business Education,Hospitality & Tourism,Hospitality and Tourism,,Certs of Achievement,9
6098,Fiscal Year 2011,Honolulu CC,430107,Administration of Justice,Career & Tech Ed,Public Services,Administration of Justice,,,Associate Degrees,32
6099,Fiscal Year 2011,Kapi`olani CC,521401,Marketing,Career & Tech Ed,Business Education,Marketing,,,Associate Degrees,8
6100,Fiscal Year 2011,UH Hilo,301801,Natural Science,College of Arts & Sciences,Natural Sciences,Natural Science,,,Bachelor's Degrees,7
6101,Fiscal Year 2011,Honolulu CC,120401,Cosmetology,Career & Tech Ed,Technology,Cosmetology,,,Certs of Achievement,6
6102,Fiscal Year 2011,Hawai`i CC,470605,Diesel Mechanics,Career & Tech Ed,Technology,Diesel Mechanics,,,Certs of Achievement,3
6103,Fiscal Year 2011,UH Hilo,450901,International Relations,College of Arts & Sciences,Arts & Humanities,China-U.S. Relations,,,Master's Degrees,5
6104,Fiscal Year 2011,Honolulu CC,480508,Welding,Career & Tech Ed,Technology,Welding Technology,,,Certs of Achievement,5
6105,Fiscal Year 2011,Maui College,520901,"Hospitality Admin/Mgmt, Ge",Career & Tech Ed,Business Education,Hospitality & Tourism,Hospitality and Tourism,,Associate Degrees,5
6106,Fiscal Year 2011,Leeward CC,100303,Digital Media,Career & Tech Ed,Technology,Digital Media Production,,,Associate Degrees,16
6107,Fiscal Year 2011,Honolulu CC,470101,Electrical Install/Maint Tech,Career & Tech Ed,Technology,Electrical Install/Maint Tech,,,Associate Degrees,14
6108,Fiscal Year 2011,UH West O`ahu,450101,Social Sciences,Social Sciences Division,Social Science,Economics & Finance,,,Bachelor's Degrees,3
6109,Fiscal Year 2011,UH Manoa,451101,Sociology,College of Arts & Sciences,Social Sciences,Sociology,,,Master's Degrees,5
6110,Fiscal Year 2011,Honolulu CC,470603,Auto Body Repair & Painting,Career & Tech Ed,Technology,Auto Body Repair & Painting,,,Associate Degrees,1
6111,Fiscal Year 2011,UH Manoa,050202,American Indian/Native Studies,Hawai`inuiakea Sch Hawn Knowledge,Hawaiian Studies,Hawaiian Studies,,,Master's Degrees,4
6112,Fiscal Year 2011,UH Manoa,260102,Biomedical Science,School of Medicine,School of Medicine,Biomedical Sciences,,,Doctoral Degrees,1
6113,Fiscal Year 2011,UH Manoa,142401,Ocean & Resources Engineering,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Ocean & Res Eng,Ocean & Resources Engineering,,Master's Degrees,2
6114,Fiscal Year 2011,UH Manoa,131205,Secondary Education,College of Education,Education,Inst for Teacher Ed,"Sec Education, Industrial Arts",,Bachelor's Degrees,2
6115,Fiscal Year 2011,Maui College,470603,Auto Body Repair & Painting,Career & Tech Ed,Technology,Auto Body Repair & Painting,,,Certs of Achievement,1
6116,Fiscal Year 2011,UH Manoa,160301,Chinese,College of Arts & Sciences,"Lang, Ling & Lit",East Asian Lang & Lit,East Asian Lang & Lit-Chinese,,Master's Degrees,1
6117,Fiscal Year 2011,Maui College,131210,Early Childhood Education,Career & Tech Ed,Public Services,Early Childhood Education,,,Certs of Achievement,1
6118,Fiscal Year 2011,UH Manoa,160302,Japanese,College of Arts & Sciences,"Lang, Ling & Lit",East Asian Lang & Lit,East Asian Lang & Lit-Japanese,,Doctoral Degrees,1
6119,Fiscal Year 2012,UH Manoa,100304,"Animation, Interactive Tech, V",College of Arts & Sciences,Arts & Humanities,Creative Media,,,Bachelor's Degrees,47
6120,Fiscal Year 2012,UH West O`ahu,440401,Public Administration,Professional Studies Division,Public Administration,Health Care Administration,,,Bachelor's Degrees,16
6121,Fiscal Year 2012,UH Manoa,160303,Korean,College of Arts & Sciences,"Lang, Ling & Lit",East Asian Lang & Lit,Korean,,Bachelor's Degrees,13
6122,Fiscal Year 2012,UH Manoa,160303,Korean,College of Arts & Sciences,"Lang, Ling & Lit",East Asian Lang & Lit,East Asian Lang & Lit-Korean,,Master's Degrees,8
6123,Fiscal Year 2012,Hawai`i CC,470605,Diesel Mechanics,Career & Tech Ed,Technology,Diesel Mechanics,,,Certs of Achievement,5
6124,Fiscal Year 2012,Kapi`olani CC,513901,Lic Practical/Voc Nurse Trng,Career & Tech Ed,Health Services,Nursing,Practical Nursing,,Certs of Achievement,37
6125,Fiscal Year 2012,Honolulu CC,151303,Arch Engineering & CAD Tech,Career & Tech Ed,Technology,Arch Eng & CAD Tech,Architectural Eng & CAD Tech,,Associate Degrees,18
6126,Fiscal Year 2012,UH West O`ahu,240103,Humanities,Humanities Division,Humanities,English,,,Bachelor's Degrees,3
6127,Fiscal Year 2012,Hawai`i CC,470603,Auto Body Repair & Painting,Career & Tech Ed,Technology,Auto Body Repair & Painting,,,Certs of Achievement,6
6128,Fiscal Year 2012,Honolulu CC,480508,Welding,Career & Tech Ed,Technology,Welding Technology,,,Certs of Achievement,13
6129,Fiscal Year 2012,UH Manoa,520301,Accounting,College of Business Admin,Business Administration,School of Accountancy,Accounting,,Master's Degrees,24
6130,Fiscal Year 2012,UH Manoa,260701,Zoology,College of Arts & Sciences,Natural Sciences,Zoology,,,Doctoral Degrees,9
6131,Fiscal Year 2012,UH Manoa,142401,Ocean & Resources Engineering,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Ocean & Res Eng,Ocean & Resources Engineering,,Doctoral Degrees,2
6132,Fiscal Year 2012,UH Manoa,260399,"Botany/Plant Biology, Oth",College of Arts & Sciences,Natural Sciences,Botany Program,Ethnobotany,,Bachelor's Degrees,2
6133,Fiscal Year 2012,UH Manoa,380101,Philosophy,College of Arts & Sciences,Arts & Humanities,Philosophy,,,Doctoral Degrees,3
6134,Fiscal Year 2013,UH Manoa,090401,Journalism,College of Arts & Sciences,Social Sciences,Communications,Journalism,,Bachelor's Degrees,22
6135,Fiscal Year 2013,UH Manoa,110701,Computer Science,College of Arts & Sciences,Natural Sciences,Information & Comp Sci,Computer Science,,Master's Degrees,6
6136,Fiscal Year 2013,Leeward CC,470604,Automotive Mechanics Tech,Career & Tech Ed,Technology,Automotive Tech,Automotive Mechanics Tech; Automotive Technology,,Associate Degrees,15
6137,Fiscal Year 2013,UH Manoa,131001,Special Education,College of Education,Education,Special Education,,,Master's Degrees,5
6138,Fiscal Year 2013,UH Manoa,451001,Political Science/Government,College of Arts & Sciences,Social Sciences,Political Science,,,Master's Degrees,13
6139,Fiscal Year 2013,Kapi`olani CC,510803,Occupational Therapy Assistant,Career & Tech Ed,Health Services,Occupational Therapy Assistant,,,Associate Degrees,11
6140,Fiscal Year 2013,Maui College,010301,Agriculture,Career & Tech Ed,Technology,Agriculture,,,Associate Degrees,7
6141,Fiscal Year 2013,Leeward CC,100202,Television Production,Career & Tech Ed,Technology,Television Production,,,Associate Degrees,5
6142,Fiscal Year 2013,UH Manoa,220101,Law,School of Law,School of Law,Law,,,Other,104
6143,Fiscal Year 2013,Hawai`i CC,480508,Welding,Career & Tech Ed,Technology,"Mach, Weld & Ind Mech Tech","Mach, Welding & Ind Mech Tech",,Associate Degrees,15
6144,Fiscal Year 2013,UH Manoa,131401,Eng for Speakers of other Lang,College of Arts & Sciences,"Lang, Ling & Lit",Second Lang Studies,Second Lang Studies,Second Language Studies,Doctoral Degrees,3
6145,Fiscal Year 2013,UH West O`ahu,240103,Humanities,Humanities Division,Humanities,English,,,Bachelor's Degrees,9
6146,Fiscal Year 2013,Maui College,440000,Adult Services,Career & Tech Ed,Public Services,Human Services,,,Associate Degrees,7
6147,Fiscal Year 2013,UH Manoa,500501,Drama & Theatre,College of Arts & Sciences,Arts & Humanities,Theater & Dance,Theatre,,Master's Degrees,6
6148,Fiscal Year 2013,UH Manoa,141901,Mechanical Engineering,College of Engineering,Engineering,Mechanical Engineering,,,Doctoral Degrees,2
6149,Fiscal Year 2013,UH Manoa,400201,Astronomy,College of Arts & Sciences,Natural Sciences,Physics & Astronomy,Astronomy,,Master's Degrees,1
6150,Fiscal Year 2013,UH Manoa,050109,Pacific Islands Studies,Schl of Pacific & Asian Studies,Pacific & Asian Studies,Pacific Studies,Pacific Islands Studies,,Bachelor's Degrees,1
6151,Fiscal Year 2013,UH Manoa,131210,Early Childhood Education,College of Education,Education,Curriculum Studies,Early Childhood Education,,Master's Degrees,1
6152,Fiscal Year 2013,UH Manoa,422806,Educational Psychology,College of Education,Education,Educational Psychology,,,Doctoral Degrees,4
6153,Fiscal Year 2013,UH Hilo,110701,Computer Science,College of Arts & Sciences,Natural Sciences,Computer Science,,,Bachelor's Degrees,8
6154,Fiscal Year 2013,UH Manoa,161200,Lang&Lit/Europe&Amer-Classics,College of Arts & Sciences,"Lang, Ling & Lit",Lang & Lit of Europe & Amer,Classics,Classics,Bachelor's Degrees,2
6155,Fiscal Year 2013,UH West O`ahu,440401,Public Administration,Professional Studies Division,Public Administration,Health Care Administration,,,Bachelor's Degrees,48
6156,Fiscal Year 2013,Honolulu CC,150701,Occuptnl Environmtl Safety Mgt,Career & Tech Ed,Public Services,Occupational Envir Safety Mgt,,,Associate Degrees,13
6157,Fiscal Year 2013,UH Manoa,260102,Biomedical Science,School of Medicine,School of Medicine,Biomedical Sciences,,,Doctoral Degrees,2
6158,Fiscal Year 2013,UH West O`ahu,240103,Humanities,Humanities Division,Humanities,Philosophy,,,Bachelor's Degrees,1
6159,Fiscal Year 2013,Kaua`i CC,131210,Early Childhood Education,Career & Tech Ed,Public Services,Early Childhood Education,,,Associate Degrees,4
6160,Fiscal Year 2013,UH West O`ahu,130101,"Education, General",Education,Education,Education,Elementary Education,,Bachelor's Degrees,14
6161,Fiscal Year 2013,Honolulu CC,190902,Apparel & Textile Manufacture,Career & Tech Ed,Technology,Fashion Technology,,,Associate Degrees,10
6162,Fiscal Year 2013,Hawai`i CC,470101,Electrical Install/Maint Tech,Career & Tech Ed,Technology,Electrical Install/Maint Tech,,,Certs of Achievement,16
6163,Fiscal Year 2013,Maui College,301801,Natural Science,General & Pre-Prof Ed,Natural Sciences,Natural Science,,,Associate Degrees,2
6164,Fiscal Year 2013,Honolulu CC,151303,Arch Engineering & CAD Tech,Career & Tech Ed,Technology,Arch Eng & CAD Tech,Architectural Eng & CAD Tech,,Associate Degrees,13
6165,Fiscal Year 2013,Kapi`olani CC,521401,Marketing,Career & Tech Ed,Business Education,Marketing,,,Certs of Achievement,1
6166,Fiscal Year 2013,Maui College,050202,American Indian/Native Studies,General & Pre-Prof Ed,Hawaiian Studies,,,,Associate Degrees,8
6167,Fiscal Year 2013,Kaua`i CC,120500,Food Service,Career & Tech Ed,Food Services,Culinary Arts,,,Certs of Achievement,16
6168,Fiscal Year 2013,UH Manoa,270101,"Mathematics, General",College of Arts & Sciences,Natural Sciences,Mathematics,,,Bachelor's Degrees,11
6169,Fiscal Year 2013,Kaua`i CC,470603,Auto Body Repair & Painting,Career & Tech Ed,Technology,Auto Body Repair & Painting,,,Certs of Achievement,1
6170,Fiscal Year 2013,Leeward CC,520201,"Business Admin & Mgmt, General",Career & Tech Ed,Business Education,Management,,,Certs of Achievement,1
6171,Fiscal Year 2013,UH Manoa,400801,Physics,College of Arts & Sciences,Natural Sciences,Physics & Astronomy,Physics,,Master's Degrees,4
6172,Fiscal Year 2014,UH Manoa,450601,Economics,College of Arts & Sciences,Social Sciences,Economics,,,Bachelor's Degrees,66
6173,Fiscal Year 2014,UH Manoa,190901,Fashion Des & Merchandising,Col of Trop Ag & Human Res,Tropical Ag & Human Res,Family & Consumer Sci,Apparel Prod Dsgn & Merchandsg,Apparel Prod Dsgn & Merchandsg,Bachelor's Degrees,4
6174,Fiscal Year 2014,Maui College,520101,General Business,Career & Tech Ed,Business Education,Business Careers,Business Careers,,Associate Degrees,15
6175,Fiscal Year 2014,Leeward CC,131299,Teacher Education,General & Pre-Prof Ed,Teaching,Teaching,,,Associate Degrees,87
6176,Fiscal Year 2014,UH West O`ahu,440401,Public Administration,Professional Studies Division,Public Administration,Justice Administration,,,Bachelor's Degrees,13
6177,Fiscal Year 2014,UH Manoa,422806,Educational Psychology,College of Education,Education,Educational Psychology,,,Master's Degrees,7
6178,Fiscal Year 2014,UH Hilo,050127,Japanese Studies,College of Arts & Sciences,Arts & Humanities,Japanese Studies,,,Bachelor's Degrees,10
6179,Fiscal Year 2014,UH Manoa,380101,Philosophy,College of Arts & Sciences,Arts & Humanities,Philosophy,,,Bachelor's Degrees,14
6180,Fiscal Year 2014,UH Manoa,090101,Speech Communicatn & Rhetoric,College of Arts & Sciences,Social Sciences,Communications,Communication,,Master's Degrees,7
6181,Fiscal Year 2014,Hawai`i CC,050202,American Indian/Native Studies,Career & Tech Ed,Technology,Hawaiian Life Styles,,,Associate Degrees,10
6182,Fiscal Year 2014,UH Manoa,512201,Pub Health Sci & Epidemiology,School of Medicine,School of Medicine,Public Health,Public Health,,Master's Degrees,30
6183,Fiscal Year 2014,UH Manoa,160301,Chinese,College of Arts & Sciences,"Lang, Ling & Lit",East Asian Lang & Lit,Chinese,Chinese,Bachelor's Degrees,19
6184,Fiscal Year 2014,Kapi`olani CC,513901,Lic Practical/Voc Nurse Trng,Career & Tech Ed,Health Services,Nursing,Practical Nursing,,Certs of Achievement,39
6185,Fiscal Year 2014,Kapi`olani CC,310505,Exercise & Sports Science,Career & Tech Ed,Health Services,Exercise and Sport Science,,,Associate Degrees,3
6186,Fiscal Year 2014,Hawai`i CC,470605,Diesel Mechanics,Career & Tech Ed,Technology,Diesel Mechanics,,,Certs of Achievement,13
6187,Fiscal Year 2014,Maui College,430107,Administration of Justice,Career & Tech Ed,Public Services,Administration of Justice,,,Associate Degrees,6
6188,Fiscal Year 2014,Maui College,520901,"Hospitality Admin/Mgmt, Ge",Career & Tech Ed,Business Education,Hospitality & Tourism,Hospitality & Tourism,,Associate Degrees,5
6189,Fiscal Year 2014,UH Hilo,540101,History,College of Arts & Sciences,Social Sciences,History,,,Bachelor's Degrees,15
6190,Fiscal Year 2014,UH Hilo,030104,Global Environmental Science,College of Arts & Sciences,Natural Sciences,Trop Conserv Bio & Environ Sci,,,Master's Degrees,8
6191,Fiscal Year 2014,UH Manoa,131401,Eng for Speakers of other Lang,College of Arts & Sciences,"Lang, Ling & Lit",Second Lang Studies,Second Lang Studies,Second Language Studies,Doctoral Degrees,3
6192,Fiscal Year 2014,Hawai`i CC,120500,Food Service,Career & Tech Ed,Food Services,Culinary Arts,,,Associate Degrees,32
6193,Fiscal Year 2014,Maui College,430107,Administration of Justice,Career & Tech Ed,Public Services,Administration of Justice,,,Certs of Achievement,5
6194,Fiscal Year 2014,UH Manoa,230101,"English, General",College of Arts & Sciences,"Lang, Ling & Lit",English,,,Master's Degrees,13
6195,Fiscal Year 2014,UH Manoa,260905,Biomed Sci (Reproductive Biol),School of Medicine,School of Medicine,Developmental & Reprod Biology,,,Doctoral Degrees,1
6196,Fiscal Year 2014,UH Manoa,131205,Secondary Education,College of Education,Education,Inst for Teacher Ed,Secondary Education,"Sec Education, Psychology",Bachelor's Degrees,2
6197,Fiscal Year 2014,Hawai`i CC,131210,Early Childhood Education,Career & Tech Ed,Public Services,Early Childhood Education,,,Associate Degrees,13
6198,Fiscal Year 2014,Kapi`olani CC,110103,Information Technology,Career & Tech Ed,Business Education,Information Tech,Information Technology,,Other,3
6199,Fiscal Year 2014,UH Manoa,500301,Dance,College of Arts & Sciences,Arts & Humanities,Theater & Dance,Dance,,Master's Degrees,5
6200,Fiscal Year 2014,UH Manoa,090101,Speech Communicatn & Rhetoric,College of Arts & Sciences,Arts & Humanities,Communicology,,,Master's Degrees,4
6201,Fiscal Year 2014,UH Manoa,261309,Epidemiology,School of Medicine,School of Medicine,Public Health,Epidemiology,Epidemiology,Doctoral Degrees,2
6202,Fiscal Year 2014,Kapi`olani CC,521401,Marketing,Career & Tech Ed,Business Education,Marketing,,,Certs of Achievement,1
6203,Fiscal Year 2014,UH Manoa,131205,Secondary Education,College of Education,Education,Inst for Teacher Ed,Secondary Education,"Sec Education, American Stud",Bachelor's Degrees,1
6204,Fiscal Year 2015,UH Manoa,270101,"Mathematics, General",College of Arts & Sciences,Natural Sciences,Mathematics,,,Doctoral Degrees,5
6205,Fiscal Year 2015,UH Manoa,520201,"Business Admin & Mgmt, General",College of Business Admin,Business Administration,Business Administration,,,Master's Degrees,151
6206,Fiscal Year 2015,UH Manoa,131299,Teacher Education,College of Education,Education,Inst for Teacher Ed,Education,Teaching,Master's Degrees,29
6207,Fiscal Year 2015,UH Manoa,521001,Human Resource Management,College of Business Admin,Business Administration,Mgt & Industrial Rel,Human Resource Management,,Bachelor's Degrees,38
6208,Fiscal Year 2015,UH Hilo,430104,Criminal Justice Studies,College of Arts & Sciences,Social Sciences,Administration of Justice,,,Bachelor's Degrees,19
6209,Fiscal Year 2015,UH Hilo,451101,Sociology,College of Arts & Sciences,Social Sciences,Sociology,,,Bachelor's Degrees,31
6210,Fiscal Year 2015,UH Manoa,110701,Computer Science,College of Arts & Sciences,Natural Sciences,Information & Comp Sci,Computer Science,,Master's Degrees,12
6211,Fiscal Year 2015,UH Hilo,513801,Registered Nursing/Reg Nurse,College of Arts & Sciences,School of Nursing,Nursing,,,Bachelor's Degrees,50
6212,Fiscal Year 2015,Windward CC,050202,American Indian/Native Studies,General & Pre-Prof Ed,Hawaiian Studies,,,,Associate Degrees,12
6213,Fiscal Year 2015,UH Manoa,050202,American Indian/Native Studies,Hawai`inuiakea Sch Hawn Knowledge,Hawaiian Studies,Hawaiian Studies,,,Master's Degrees,7
6214,Fiscal Year 2014,UH Manoa,050109,Pacific Islands Studies,Schl of Pacific & Asian Studies,Pacific & Asian Studies,Pacific Studies,Pacific Islands Studies,,Bachelor's Degrees,1
6215,Fiscal Year 2015,Honolulu CC,430203,Fire & Environtl Emerg Resp,Career & Tech Ed,Public Services,Fire & Envir Emergency Resp,,,Certs of Achievement,20
6216,Fiscal Year 2015,Leeward CC,120500,Food Service,Career & Tech Ed,Food Services,Culinary Arts,,,Associate Degrees,17
6217,Fiscal Year 2015,UH West O`ahu,440401,Public Administration,Professional Studies Division,Public Administration,Disaster Prep & Emgncy Mgmt,,,Bachelor's Degrees,16
